Player	Team	Age	GP	W	L	Min	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	Plus/Minus
Jaxson Hayes	LAL	24	30	20	10	18	5.9	2.4	3.4	69.6	0	0.1	0	1.1	1.5	73.9	1.3	2.9	4.2	1	0.7	0.6	1	2.2	16.5	1	0	1.4
Talen Horton-Tucker	CHI	24	41	13	28	11.4	5.8	2.1	4.6	45	0.8	2	37.3	0.9	1.2	72.5	0.3	1.4	1.7	1.3	0.6	0.4	0.2	1	10.8	0	0	-0.2
Javonte Green	NOP	31	48	10	38	21.8	5.8	2	4.5	44.4	0.8	2.1	36.3	1	1.4	75.8	1	2.5	3.5	0.9	0.6	1	0.6	1.5	15.7	0	0	-5.8
Kris Dunn	LAC	30	45	25	20	22.5	5.8	2.4	5.7	41.2	0.9	3	29.9	0.2	0.3	50	0.7	2.6	3.4	2.8	1.1	1.5	0.3	2.5	18.4	0	0	2
Isaiah Stewart	DET	23	49	24	25	20	5.8	2.3	4.4	53.5	0.2	0.8	28.9	0.8	1	82	2	3.7	5.8	1.7	0.9	0.4	1.2	2.4	19	2	0	-0.8
Isaac Okoro	CLE	24	28	24	4	19.7	5.8	2	4.7	42.7	1.1	2.8	39.7	0.6	0.9	72	0.8	1.3	2.1	1.6	0.4	0.7	0.4	2	13.5	0	0	4.8
Keaton Wallace	ATL	25	24	10	14	17.3	5.8	2.2	5.1	42.3	1	2.7	35.4	0.5	0.5	100	0.2	1.3	1.5	2.3	1.2	0.9	0.3	1.3	13.5	0	0	-1.5
Kenrich Williams	OKC	30	41	34	7	14.6	5.7	2.2	4.6	49.2	0.9	2.3	38.3	0.4	0.4	88.2	0.9	2.4	3.3	1.2	0.5	0.7	0.1	1.5	13.5	1	0	4.5
Robert Williams III	POR	27	19	7	12	17.2	5.7	2.4	3.8	63	0.1	0.2	33.3	0.8	0.9	88.2	1.8	4.1	5.9	1.1	0.9	0.6	1.6	1.5	20.1	0	0	-0.8
Quenton Jackson	IND	26	18	8	10	14.1	5.7	2.2	4.2	51.3	0.5	1.3	37.5	0.8	1.2	71.4	0.6	0.9	1.5	1.7	0.6	0.5	0.3	1.8	11.8	0	0	-2.5
Vince Williams Jr.	MEM	24	6	3	3	14.9	5.7	2.2	6	36.1	0.5	2.7	18.8	0.8	1.7	50	1.5	2.5	4	2.2	1.3	0.3	0.3	2.5	14.4	0	0	8.3
Gabe Vincent	LAL	28	44	28	16	20.4	5.7	2.1	5.2	40.9	1.3	3.6	35	0.1	0.2	50	0.3	1	1.2	1.5	0.6	0.7	0.2	2.1	11.4	0	0	0.3
Drew Eubanks	LAC	28	40	9	31	14.9	5.6	2.3	3.8	61.6	0.1	0.1	60	0.9	1.4	63.2	1.1	3.3	4.4	1.1	0.8	0.3	0.8	1.2	15.1	0	0	-3.1
Jaylin Williams	OKC	22	25	21	4	17.2	5.6	2	5.3	38.3	1.1	3.6	30.8	0.4	0.4	100	1.4	4.5	5.9	2.5	0.7	0.5	0.7	1.9	19.2	1	0	4.6
Jeremiah Robinson-Earl	NOP	24	43	11	32	17.8	5.6	2.1	4.8	44.2	0.7	2.2	30.9	0.7	0.8	84.8	1.7	3	4.7	1.2	0.7	0.7	0.1	1.2	14.6	2	0	-3.9
Kevin Love	MIA	36	19	12	7	10.9	5.5	1.8	5.2	35.4	1.1	3.1	36.2	0.7	1	68.4	0.9	3.2	4.1	1	0.7	0.7	0.1	0.9	13.7	0	0	-0.2
Bol Bol	PHX	25	17	4	13	10.1	5.5	2.1	4.3	49.3	0.7	2.4	29.3	0.5	0.8	64.3	0.6	2.1	2.6	0.5	0.5	0.2	0.8	0.3	11.8	1	0	0.1
Jonathan Mogbo	TOR	23	41	9	32	17.4	5.4	2.1	4.5	46.2	0.3	0.9	32.4	1	1.3	72.2	1.7	2.6	4.2	1.7	0.9	0.7	0.5	2.1	15.9	0	0	-3.6
Lindy Waters III	DET	27	39	18	21	17	5.4	1.9	5.3	36.5	1.3	3.9	32.5	0.2	0.3	72.7	0.4	2.1	2.5	1.1	0.4	0.6	0.3	1.4	12	0	0	-0.5
Jamison Battle	TOR	23	38	11	27	12.6	5.3	1.9	4.1	45.8	1.3	3.1	41.9	0.3	0.4	85.7	0.5	1.2	1.8	0.8	0.3	0.1	0.1	1.1	9.1	0	0	-3.1
Tristan Vukcevic	WAS	21	13	2	11	8.6	5.3	2	4.1	49.1	0.6	1.9	32	0.7	1	69.2	0.7	1.8	2.5	0.9	0.5	0.2	0.2	0.9	10.3	0	0	0.5
Donovan Clingan	POR	20	40	17	23	15.9	5.3	2.2	4.1	54.3	0.2	0.6	30.4	0.7	1.1	69	2.6	3.8	6.4	0.7	1.2	0.4	1.5	2.6	18.8	2	0	-1.2
Kobe Bufkin	ATL	21	10	6	4	12.4	5.3	1.8	4.7	38.3	0.4	1.9	21.1	1.3	1.8	72.2	0.5	1.6	2.1	1.7	0.8	0.3	0.2	0.9	11.1	0	0	-2.3
Tidjane Salaün	CHA	19	38	9	29	19	5.3	1.7	5.4	31.9	0.9	3.3	28.2	0.9	1.3	72	1.1	3.1	4.2	1.1	0.9	0.6	0.2	1.3	13.7	1	0	-4.7
Neemias Queta	BOS	25	42	29	13	14.6	5.3	2.2	3.4	66	0	0	0	0.8	1.1	72.9	1.4	2.3	3.7	0.6	0.6	0.3	0.7	1.8	13.1	0	0	3.4
Jaylen Clark	MIN	23	12	9	3	13.6	5.3	1.8	3.7	50	0.8	1.5	50	0.8	1.2	71.4	0.8	0.8	1.5	0.4	0.2	0.6	0.1	1.5	9.5	0	0	1.2
Luke Kornet	BOS	29	48	32	16	17.3	5.2	2.1	3.3	65.4	0	0	0	1	1.3	75.4	2.3	2.8	5	1.6	0.4	0.5	1	1.5	17.7	1	0	5.1
DaQuan Jeffries	CHA	27	20	3	17	19	5.2	2	4.7	41.9	0.9	2.7	32.1	0.5	0.6	81.8	0.9	2	2.9	1.2	0.6	0.7	0.4	2	13.1	0	0	-1.8
Kyle Anderson	MIA	31	37	19	18	14.9	5.1	2.1	4.7	43.7	0.5	1.4	35.8	0.5	0.7	66.7	0.8	2.3	3.1	2.2	0.5	0.7	0.5	1.1	15.2	0	0	-2.3
Gary Payton II	GSW	32	42	23	19	13.3	5.1	2.2	4	54.2	0.3	1.2	21.2	0.5	0.7	72.4	0.9	2	2.9	1.3	0.7	0.6	0.3	1.7	12.5	0	0	-0.3
Moussa Diabate	CHA	23	44	10	34	18.9	5.1	2.1	3.4	61.6	0	0	0	0.8	1.5	55.2	3	4	7	0.8	0.9	0.7	0.7	1.6	17.9	5	0	1
Kevon Looney	GSW	29	47	24	23	16.2	5.1	2.2	4.2	51.3	0	0	0	0.7	1.4	53.1	3	3.9	6.9	1.9	0.6	0.7	0.4	2.2	18.8	2	0	0.5
Alondes Williams	DET	25	1	0	1	3.7	5	2	2	100	1	1	100	0	0	0	0	0	0	1	0	0	0	0	6.5	0	0	6
Marvin Bagley III	MEM	25	19	3	16	8.8	4.9	2	3.7	53.5	0.1	0.5	20	0.8	1.2	65.2	1.4	1.5	2.9	0.4	0.6	0.4	0.3	0.6	10.3	0	0	-1.4
Monté Morris	PHX	29	40	20	20	13	4.9	1.7	4.3	40.4	0.6	1.8	30.1	0.9	1	85	0.3	1.2	1.4	1.7	0.4	0.4	0.1	0.5	10.1	0	0	1.4
Ryan Rollins	MIL	22	36	17	19	11.9	4.8	1.8	3.9	46.5	0.6	1.7	36.7	0.5	0.6	82.6	0.4	1.1	1.5	1.2	0.8	0.7	0.3	1.4	10.6	0	0	1.1
Trevelin Queen	ORL	27	23	9	14	15.2	4.7	1.8	4.9	36.6	0.7	2.6	27.1	0.5	0.6	84.6	0.9	0.9	1.7	1.4	0.9	1	0.3	1.6	12.2	0	0	-3.8
Jeff Green	HOU	38	15	9	6	11	4.7	1.7	3.1	54.3	0.5	1.8	29.6	0.9	1.1	81.3	0.3	1.3	1.5	0.3	0.3	0.2	0.1	1.1	7.4	0	0	-1.9
Jordan Miller	LAC	25	30	16	14	12.4	4.7	1.8	4.2	42.9	0.3	1.2	22.2	0.9	1.1	78.8	0.7	1	1.7	1.1	0.7	0.5	0.2	0.7	9.7	0	0	-1.2
Taylor Hendricks	UTA	21	3	0	3	24.8	4.7	1.3	6	22.2	1	4	25	1	1.3	75	1.7	3.3	5	0.7	0.7	1.7	1.3	2.7	20	0	0	-7.3
Sandro Mamukelashvili	SAS	25	32	14	18	8.3	4.7	1.7	2.9	56.4	0.8	1.7	43.6	0.6	0.8	70.4	0.6	1.8	2.4	0.5	0.4	0.2	0.3	0.7	9.3	0	0	0.3
Zach Collins	CHI	27	37	17	20	11.8	4.6	1.7	3.6	46.3	0.4	1.3	31.3	0.9	1	89.2	1.1	1.8	2.9	1.4	0.6	0.4	0.4	1.9	11.9	0	0	-2.2
Charles Bassey	SAS	24	32	14	18	10.8	4.6	2	3.4	57.3	0	0	0	0.7	1	63.6	1.7	2.8	4.6	0.4	0.7	0.4	0.9	1.4	13.9	2	0	-3.8
Mo Bamba	LAC	26	28	18	10	12.6	4.6	1.7	3.7	46.6	0.5	1.8	30	0.6	0.9	68	0.9	3.4	4.3	0.6	0.7	0.3	1	1.8	13.9	0	0	-1.9
Malaki Branham	SAS	21	30	14	16	9.6	4.5	1.6	3.8	43.4	0.7	1.8	39.6	0.6	0.7	85	0.1	1	1.1	0.9	0.9	0.2	0.1	0.5	7.1	0	0	-2.6
David Roddy	PHI	23	27	9	18	12.8	4.5	1.6	3.4	47.3	0.6	1.6	37.2	0.7	0.8	81.8	0.4	2.2	2.6	1.1	0.7	0.4	0.3	0.7	10.8	0	0	-2.6
Dariq Whitehead	BKN	20	8	2	6	7	4.5	1.5	3.1	48	1.4	2.6	52.4	0.1	0.4	33.3	0.1	0.5	0.6	0.1	0.4	0.4	0.1	0.3	6.6	0	0	-0.6
Trentyn Flowers	LAC	19	2	0	2	7.9	4.5	2	4.5	44.4	0	1	0	0.5	0.5	100	0.5	1.5	2	0	0.5	0	0	1.5	6.4	0	0	6.5
Jett Howard	ORL	21	44	22	22	10.9	4.4	1.6	4.2	37.5	1	3	32.3	0.3	0.4	83.3	0.4	0.8	1.2	0.6	0.5	0.2	0.2	1	7.2	0	0	-1.4
Reggie Jackson	PHI	34	31	11	20	12.4	4.4	1.7	4.3	39.1	0.8	2.4	33.8	0.2	0.3	77.8	0.3	1.1	1.4	1.5	0.5	0.5	0.1	1.1	9.5	0	0	-0.6
Tre Jones	CHI	25	30	13	17	16.1	4.4	1.6	3.4	47.1	0.3	0.9	29.6	0.9	1.2	77.1	0.5	1.5	2.1	3.6	0.7	0.7	0.2	1.2	14.1	0	0	-0.7
Paul Reed	DET	25	30	13	17	9.9	4.3	1.7	3.2	53.1	0.2	0.7	30	0.7	0.9	81.5	0.9	1.7	2.6	1	0.5	1	0.6	1.7	13.4	0	0	1.2
Pat Connaughton	MIL	32	30	11	19	15	4.3	1.6	3.8	42.5	0.7	2.1	32.3	0.4	0.6	76.5	0.6	2.2	2.7	1.7	0.6	0.2	0.3	1.1	10.9	0	0	-0.5
Julian Phillips	CHI	21	52	21	31	12.8	4.3	1.5	3.4	44.6	0.6	1.8	32.6	0.7	0.9	72.3	0.8	1.1	1.9	0.4	0.4	0.4	0.2	1.3	8.7	0	0	-1.2
Daniel Theis	NOP	32	38	10	28	16.3	4.3	1.6	3.4	47.3	0.2	1	24.3	0.8	1	83.8	1.2	3.2	4.3	1.6	0.7	0.5	0.5	1.8	14.2	1	0	-1.6
Antonio Reeves	NOP	22	22	1	21	10.2	4.2	1.6	4	40.4	0.6	2.1	30.4	0.3	0.4	87.5	0.3	0.6	0.9	0.7	0.4	0.4	0	0.4	7.3	0	0	-2
Aaron Holiday	HOU	28	38	23	15	11.6	4.2	1.4	3.6	40.7	0.8	2.4	35.6	0.5	0.5	90	0.2	0.9	1	1.2	0.5	0.4	0.1	1.1	8.2	0	0	1.4
Kris Murray	POR	24	44	18	26	13.5	4.1	1.7	3.6	45.9	0.4	1.5	26.6	0.4	0.8	44.4	1	1.2	2.2	0.8	0.5	0.4	0.2	0.9	9.1	0	0	-1.5
Kyle Lowry	PHI	38	33	14	19	18.9	4	1.2	3.4	35.1	0.8	2.5	33.7	0.8	1	81.8	0.3	1.6	2	2.8	0.6	0.9	0.3	1.8	13.7	0	0	-1.7
Cam Spencer	MEM	24	10	8	2	12.1	4	1.3	3	43.3	0.5	1.6	31.3	0.9	0.9	100	0.5	1.2	1.7	1.6	0.5	0.3	0.1	1.1	9.1	0	0	2.3
Josh Richardson	MIA	31	8	4	4	18.7	4	1.4	4.8	28.9	0.8	2.8	27.3	0.5	0.5	100	0.8	0.8	1.5	1.5	1	1	0.1	2.1	10.4	0	0	-3.9
Oscar Tshiebwe	UTA	25	4	1	3	13.6	4	1	1.5	66.7	0	0	0	2	2.5	80	1.8	4	5.8	0.3	0.3	1.3	0	3	14.8	0	0	0.5
Gui Santos	GSW	22	28	15	13	12.4	4	1.4	2.8	48.1	0.8	1.8	41.2	0.5	0.8	66.7	1.1	1.6	2.7	1.1	0.6	0.3	0.1	1.5	9.5	0	0	1.9
Mason Plumlee	PHX	34	52	26	26	17.5	3.9	1.5	2.6	56.9	0	0	0	0.9	1.4	62.7	1.7	4.7	6.3	1.9	0.9	0.5	0.8	2.2	17.1	1	0	1.1
Dalen Terry	CHI	22	49	18	31	12.6	3.9	1.4	3.1	45.4	0.4	1.2	35.1	0.7	1	67.3	0.6	0.9	1.5	1.2	0.7	0.5	0.2	1.5	8.8	0	0	-2.8
Patty Mills	LAC	36	19	4	15	14.2	3.9	1.4	4.2	32.9	0.9	3.2	28.3	0.3	0.3	100	0.2	0.9	1.1	1.2	0.8	0.7	0.2	0.7	8.7	0	0	0.1
Ousmane Dieng	OKC	21	29	23	6	11.4	3.9	1.4	3.6	40.4	0.6	2	28.8	0.4	0.6	68.8	0.5	1.8	2.3	0.9	0.5	0.5	0.2	0.9	9.7	0	0	1
Andre Jackson Jr.	MIL	23	50	27	23	17.3	3.8	1.6	3.4	46.4	0.5	1.4	37.7	0.2	0.4	55.6	1.1	2.1	3.2	1.5	1	0.6	0.3	2	11.5	0	0	-0.8
Micah Potter	UTA	26	24	8	16	17.1	3.8	1.3	3.1	41.9	0.9	2.5	37.3	0.3	0.4	88.9	1	2.7	3.7	0.8	0.7	0.2	0.4	1.3	10.4	0	0	-3
Jae'Sean Tate	HOU	29	34	24	10	11.3	3.8	1.4	2.9	48	0.2	0.7	29.2	0.8	1.1	69.2	0.9	1.3	2.2	0.9	0.4	0.6	0.1	1.8	9.4	0	0	0.8
Pelle Larsson	MIA	23	34	15	19	12.9	3.8	1.4	3	44.7	0.5	1.5	32	0.6	1	66.7	0.4	1.1	1.5	0.9	0.4	0.4	0.1	1.7	8.3	0	0	0.7
Cody Williams	UTA	20	27	5	22	20.7	3.8	1.4	4.6	30.1	0.6	2.4	23.1	0.5	0.8	63.6	0.6	1.6	2.2	1.3	0.9	0.5	0.4	1.8	10.1	0	0	-8.4
Jock Landale	HOU	29	26	16	10	10.5	3.8	1.4	3.1	46.3	0.2	0.4	50	0.8	1.2	66.7	1.3	1.8	3.2	0.9	0.5	0.2	0.3	1	10	1	0	-0.5
Dario Saric	DEN	30	13	5	8	14.7	3.8	1.4	4.2	33.3	0.5	1.8	25	0.5	0.8	70	1	2.6	3.6	1.7	1.1	0.5	0.1	1.4	11.4	1	0	-3.2
Steven Adams	HOU	31	36	22	14	12.8	3.7	1.5	2.8	53.5	0	0	0	0.8	1.7	45.2	2.8	2.6	5.4	1.1	0.9	0.3	0.5	1.1	13.2	1	0	1.9
Devin Carter	SAC	22	16	9	7	9.9	3.7	1.2	3.8	31.1	0.5	1.9	25.8	0.8	1.1	72.2	0.4	2.1	2.5	1.3	0.5	0.3	0.2	0.9	9.7	0	0	-0.9
Olivier-Maxence Prosper	DAL	22	43	23	20	10.2	3.7	1.3	3.1	41	0.2	1	20.9	0.9	1.4	65	0.9	1.5	2.4	0.7	0.3	0.5	0.1	0.5	9	0	0	-2.1
Damion Lee	PHX	32	15	4	11	6.6	3.7	1.1	3.4	33.3	0.3	1.7	20	1.1	1.1	94.1	0.1	0.7	0.9	0.5	0.4	0.3	0	0.3	5.9	0	0	0.5
Isaac Jones	SAC	24	25	11	14	8.7	3.6	1.5	2.3	65.5	0	0.2	25	0.6	1	53.8	0.6	1	1.5	0.3	0.5	0.1	0.3	1	6.8	0	0	-1.8
DeAndre Jordan	DEN	36	39	27	12	11.8	3.6	1.6	2.5	66	0	0	0	0.3	0.8	41.9	1.4	3.3	4.6	0.8	0.7	0.3	0.5	1.3	12	0	0	-0.4
Kylor Kelley	DAL	27	5	1	4	11.1	3.6	1.4	1.8	77.8	0	0	0	0.8	1.2	66.7	1.4	2.2	3.6	0.2	0.2	0	0.4	1.4	9.2	1	0	-7
Jevon Carter	CHI	29	26	7	19	7.2	3.6	1.3	3.2	40.2	0.8	2.2	36.2	0.2	0.3	75	0.1	0.9	1	1	0.3	0.3	0	0.3	6.8	0	0	1.8
Jeff Dowtin Jr.	PHI	27	23	6	17	11.1	3.6	1.4	3.5	40	0.3	1	26.1	0.5	0.7	70.6	0.1	1	1.2	1.4	0.1	0.3	0.2	0.6	8.6	0	0	-3.8
Jamal Cain	NOP	25	21	3	18	12.3	3.5	1.2	3	40.6	0.5	1.7	27.8	0.6	0.9	66.7	0.8	1.5	2.3	0.5	0.5	0.4	0.3	1.1	8.9	0	0	-4.3
Reed Sheppard	HOU	20	38	23	15	11.8	3.5	1.3	4.3	30.2	0.7	2.6	26.5	0.2	0.3	90	0.4	1	1.4	1.1	0.6	0.6	0.4	0.9	9.2	0	0	0.2
Oso Ighodaro	PHX	22	41	18	23	14.8	3.5	1.5	2.6	57.4	0	0	0	0.5	0.9	52.8	0.8	2.4	3.2	1	0.6	0.4	0.4	1.5	10.7	0	0	0
Gary Harris	ORL	30	26	14	12	16	3.5	1.2	3.2	38.6	0.8	2.5	33.8	0.2	0.3	50	0.5	0.7	1.3	0.6	0.4	0.6	0.2	0.8	8	0	0	1.1
Doug McDermott	SAC	33	31	16	15	8.4	3.4	1.2	2.7	42.4	1	2.3	43.1	0.1	0.2	60	0.1	0.5	0.5	0.1	0.2	0.1	0	0.9	4.6	0	0	0.6
Bruno Fernando	TOR	26	17	2	15	8.6	3.4	1.5	2.9	53.1	0	0	0	0.4	0.5	75	1.2	1.8	3	1.1	0.8	0.2	0.5	1.6	10.1	0	0	-1.3
Jalen Pickett	DEN	25	24	18	6	10.6	3.3	1.3	3	45.1	0.6	1.5	40	0.1	0.1	100	0.2	0.9	1.1	2	0.3	0.3	0.1	0.5	8.5	0	0	3.5
Cam Reddish	LAL	25	31	15	16	18.1	3.3	1.2	2.8	43	0.4	1.5	28.9	0.5	0.8	61.5	0.5	1.5	2	0.7	0.4	1	0.3	1.4	10.4	0	0	-2
Nicolas Batum	LAC	36	50	28	22	17.2	3.3	1.1	2.8	38.7	0.9	2.3	37.6	0.2	0.3	78.6	0.7	2.2	2.8	1.3	0.4	0.6	0.4	1.5	11.3	0	0	0.7
Landry Shamet	NYK	27	21	14	7	10.6	3.3	1.3	3	44.4	0.5	1.7	30.6	0.1	0.2	40	0.2	0.5	0.8	0.6	0.3	0.4	0.1	0.8	6.4	0	0	1.4
Jabari Walker	POR	22	38	14	24	10.3	3.3	1.3	2.9	44.5	0.2	0.9	22.2	0.5	0.7	64.3	0.8	2.1	2.9	0.5	0.5	0.5	0.1	1.2	8.8	0	0	-0.7
Moses Brown	IND	25	9	3	6	5.1	3.2	1.4	2.2	65	0	0	0	0.3	0.6	60	0.4	1	1.4	0	0.7	0.2	0.1	0.7	5.3	0	0	-1.2
Elijah Harkless	UTA	25	10	1	9	13.8	3.2	1.1	3.5	31.4	0.7	2.5	28	0.3	0.6	50	0.9	1.2	2.1	0.8	0.3	1	0.1	1.8	9.9	0	0	3.1
Wendell Moore Jr.	DET	23	20	7	13	10.9	3.2	1.2	2.5	46	0.2	0.7	28.6	0.7	0.7	92.9	0.6	1.7	2.2	1.2	0.5	0.5	0.2	0.8	9	0	0	0.9
Blake Wesley	SAS	21	31	15	16	9.3	3.1	1.2	2.6	46.3	0.1	0.7	19	0.5	0.7	73.9	0.2	0.5	0.7	1.9	0.9	0.5	0.1	0.5	7.7	0	0	0.5
Jarred Vanderbilt	LAL	25	8	8	0	16.4	3.1	1.4	3.1	44	0.1	0.9	14.3	0.3	0.5	50	2.1	4	6.1	1.4	0.8	1.4	0.1	1.9	16.3	0	0	7.4
JT Thor	CLE	22	9	8	1	4.7	3.1	1	1.7	60	0.3	0.7	50	0.8	0.9	87.5	0.3	0.3	0.7	0.1	0.7	0.2	0.3	0.7	5.1	0	0	-3.2
Luka Garza	MIN	26	22	16	6	5.2	3.1	1.2	2.7	45	0.2	1	22.7	0.4	0.6	64.3	0.7	0.7	1.4	0.2	0.3	0.1	0	0.8	5.1	0	0	-0.3
Karlo Matkovic	NOP	23	15	3	12	13.1	3.1	1.2	2.7	43.9	0.3	0.8	33.3	0.4	0.4	100	1.4	2.3	3.7	0.7	0.9	0.5	1	1.7	12.3	0	0	-5.8
Jaylon Tyson	CLE	22	34	27	7	9.5	3.1	1.1	2.6	43.8	0.4	1	34.3	0.4	0.5	77.8	0.9	1.4	2.3	0.9	0.5	0.2	0.1	1.2	7.6	1	0	0.4
Orlando Robinson	TOR	24	19	10	9	9.7	3.1	1.1	2.8	37	0.1	0.6	18.2	0.8	1.2	72.7	0.8	1.9	2.7	0.9	0.6	0.4	0.2	1.5	8.9	0	0	-0.7
Maxi Kleber	LAL	33	34	18	16	18.7	3	1.1	2.8	38.5	0.4	1.4	26.5	0.5	0.6	76.2	0.7	2.1	2.8	1.3	0.7	0.3	0.5	1.9	9.9	0	0	-0.5
Adem Bona	PHI	21	36	10	26	10.9	3	1.1	1.6	70.2	0	0	0	0.8	1.2	63.6	1	1.8	2.8	0.3	0.7	0.2	0.8	1.9	9	0	0	-0.8
Taze Moore	POR	26	2	0	2	9.9	3	1	5	20	0.5	2	25	0.5	1	50	2	2	4	0.5	1	1	0	0	10.6	0	0	-3.5
Craig Porter Jr.	CLE	24	32	26	6	9	2.9	1.2	2.1	56.7	0.3	0.7	47.8	0.2	0.3	70	0.2	0.8	1	1.2	0.6	0.3	0.3	0.4	7.1	0	0	0.1
Tyler Smith	MIL	20	15	8	7	5	2.9	1.1	2.3	50	0.5	1.3	40	0.1	0.3	50	0.3	1	1.3	0.3	0.4	0.1	0.2	0.5	5.5	0	0	0.8
Pat Spencer	GSW	28	22	10	12	7.2	2.9	1.2	2.8	42.6	0.1	0.5	16.7	0.4	0.6	69.2	0.5	1	1.5	1.5	0.5	0.4	0.1	0.6	7.8	0	0	-0.9
Jae Crowder	SAC	34	7	2	5	13.1	2.9	0.9	2.4	35.3	0.4	1.7	25	0.7	0.9	83.3	0.9	1.6	2.4	0.6	0.6	0.4	0	1.4	7.3	0	0	-2
Kobe Brown	LAC	25	21	10	11	8	2.9	1.2	2.4	52	0.2	0.8	25	0.2	0.2	80	0.7	1.5	2.2	0.7	0.3	0.1	0.1	0.7	6.9	0	0	-0.9
Branden Carlson	OKC	25	18	16	2	5.8	2.8	1	2.1	47.4	0.7	1.7	43.3	0.1	0.1	100	0.3	1.2	1.4	0.3	0.1	0.1	0.3	0.7	6.3	0	0	2.3
TyTy Washington Jr.	PHX	23	6	0	6	10.2	2.8	1.2	3.7	31.8	0.3	2	16.7	0.2	0.3	50	0.5	0.8	1.3	1.5	0.2	0.3	0	0.2	7.5	0	0	-1
Caleb Houstan	ORL	22	36	15	21	11.8	2.8	0.9	2.8	31.4	0.8	2.4	30.7	0.3	0.3	90.9	0.4	0.6	1	0.4	0.1	0.2	0.1	1	5.3	0	0	-2.5
Dominick Barlow	ATL	21	15	4	11	7.9	2.8	1.1	2.5	44.7	0.3	0.7	36.4	0.3	0.5	50	0.3	1.3	1.5	0.2	0.1	0.2	0.5	0.6	6.9	0	0	-0.2
Mason Jones	SAC	26	5	2	3	5.6	2.8	1.2	2.4	50	0.2	1.2	16.7	0.2	0.4	50	0.4	1.2	1.6	1.8	0.2	0	0	0.2	7.2	0	0	1
Brandon Williams	DAL	25	17	8	9	7.1	2.8	0.9	2.4	40	0.3	0.9	33.3	0.6	0.8	76.9	0.1	0.6	0.8	1.1	0.6	0.2	0	0.4	5.3	0	0	-1.1
A.J. Lawson	TOR	24	4	1	3	3.8	2.8	1	2	50	0.5	1.3	40	0.3	0.8	33.3	0.3	0.5	0.8	0	0	0	0	0	3.7	0	0	-2.5
Drew Peterson	BOS	25	14	10	4	9	2.7	0.9	1.8	48	0.6	1.4	42.1	0.4	0.5	85.7	0.4	1.6	1.9	0.8	0.4	0.1	0.1	0.9	6.7	0	0	3.9
AJ Johnson	WAS	20	9	4	5	6.7	2.7	1.1	2.8	40	0.3	0.9	37.5	0.1	0.2	50	0	1	1	1.3	0.4	0.1	0	0.6	5.8	0	0	0.6
Nate Williams	HOU	26	6	6	0	3.5	2.7	1.2	1.5	77.8	0.3	0.7	50	0	0	0	0	0.5	0.5	0.2	0.2	0.3	0.2	0.2	4.9	0	0	1.5
Taj Gibson	CHA	39	23	7	16	11.5	2.6	1.1	2.5	43.9	0	0.1	50	0.4	0.6	64.3	1.5	2	3.5	0.6	0.7	0.3	0.5	1.5	9.6	0	0	-3.2
John Konchar	MEM	28	28	20	8	13.2	2.6	1	2.3	41.5	0.5	1.6	31.1	0.2	0.2	83.3	0.9	2.8	3.8	1	0.4	0.5	0.4	0.9	11	0	0	0.1
Collin Gillespie	PHX	25	7	3	4	4.2	2.6	0.9	1.4	60	0.3	0.6	50	0.6	0.7	80	0.3	0.6	0.9	0.6	0.3	0.3	0.1	0.4	5.5	0	0	-0.1
Josh Minott	MIN	22	32	20	12	6.9	2.6	1	2.2	46.4	0.2	0.9	23.3	0.3	0.4	84.6	0.3	0.8	1.1	0.4	0.2	0.4	0.3	0.8	6.4	0	0	-0.3
E.J. Liddell	CHI	24	6	2	4	5.1	2.5	0.8	1.3	62.5	0.5	1	50	0.3	0.3	100	0.2	0.7	0.8	0.5	0.3	0.2	0.2	1.3	4.9	0	0	1.3
Jackson Rowe	GSW	28	4	2	2	8.6	2.5	1	3	33.3	0.5	2.3	22.2	0	0.5	0	0	1.8	1.8	0.8	0	0.8	0	1	8	0	0	3
Rayan Rupert	POR	20	36	14	22	8	2.4	0.9	2.2	40.5	0.3	1	27.8	0.4	0.5	72.2	0.6	0.6	1.2	0.4	0.5	0.2	0.1	0.5	4.9	0	0	-2.1
Delon Wright	NYK	32	27	14	13	15.1	2.4	0.8	3	26.8	0.4	1.8	24.5	0.3	0.6	56.3	0.6	1.1	1.7	1.8	0.5	0.9	0.3	0.6	10.2	0	0	0.6
Trey Jemison III	LAL	25	23	8	15	9.8	2.4	1	2	51.1	0	0	0	0.4	1.1	36	1.1	1.6	2.7	0.5	0.6	0.3	0.4	1.9	8.1	0	0	-1.2
Johnny Davis	MEM	22	34	4	30	7.1	2.4	0.9	2.3	41	0.2	0.9	24.1	0.3	0.4	60	0.3	0.8	1.1	0.3	0.2	0.4	0.2	0.5	5.8	0	0	-0.8
Duop Reath	POR	28	26	10	16	5.3	2.3	0.8	2	38.5	0.5	1.4	33.3	0.3	0.4	80	0.3	0.5	0.8	0.2	0.2	0	0.1	0.6	3.7	0	0	-1.8
Dillon Jones	OKC	23	33	28	5	9.3	2.3	0.8	2.5	33.7	0.3	1.4	20	0.3	0.6	55	0.6	1.4	2	1	0.4	0.2	0.1	1	6.8	0	0	0.5
