Player	Team	Age	GP	W	L	Min	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	Plus/Minus
Jaylen Martin	WAS	21	4	2	2	1.6	0.8	0.3	1	25	0.3	0.3	100	0	0	0	0.3	0.3	0.5	0	0	0	0	0.3	1.4	0	0	0.3
Josh Christopher	MIA	23	8	4	4	3.4	0.8	0.3	0.9	28.6	0	0.1	0	0.3	0.5	50	0	0.4	0.4	0.5	0.5	0	0.1	0.1	1.8	0	0	-1
Ulrich Chomche	TOR	19	7	3	4	4.6	0.7	0.3	0.7	40	0	0	0	0.1	0.3	50	0.6	0.6	1.1	0.3	0.3	0	0.1	0.7	2.7	0	0	-3.4
Liam Robbins	MIL	25	13	8	5	4.4	0.7	0.2	0.6	25	0	0.2	0	0.4	0.8	50	0.5	0.4	0.9	0.2	0.5	0.2	0.2	0.7	2.5	0	0	-0.4
Garrett Temple	TOR	38	17	6	11	3.9	0.6	0.2	0.9	20	0.1	0.4	14.3	0.2	0.2	100	0.1	0.5	0.6	0.6	0.2	0.4	0.1	0.4	3.5	0	0	-0.2
Stanley Umude	MIL	25	19	12	7	3.2	0.6	0.2	1.1	20	0.1	0.6	18.2	0.1	0.2	50	0.2	0.5	0.7	0.1	0.1	0.2	0.1	0.3	2.4	0	0	-0.7
Cui Yongxi	BKN	21	5	2	3	2.1	0.6	0.2	1.4	14.3	0	0.6	0	0.2	0.4	50	0	0.4	0.4	0	0	0	0	0	1.1	0	0	0.4
Emoni Bates	CLE	21	6	6	0	4	0.5	0.2	2	8.3	0.2	1.7	10	0	0	0	0	0	0	0.7	0	0	0	0.3	1.5	0	0	-2.5
Spencer Jones	DEN	23	10	9	1	2.7	0.5	0.2	0.8	25	0.1	0.6	16.7	0	0	0	0.1	0.3	0.4	0	0.2	0.3	0	0.4	1.7	0	0	-1.2
Tristen Newton	MIN	23	7	1	6	2	0.4	0.1	1	14.3	0	0.4	0	0.1	0.1	100	0.3	0.3	0.6	0.3	0.1	0.1	0	0.6	1.8	0	0	-0.1
Jacob Toppin	NYK	24	16	12	4	3	0.4	0.2	0.6	30	0	0.1	0	0	0	0	0.1	0.6	0.7	0.3	0.1	0.1	0	0.2	1.8	0	0	-1.1
Daishen Nix	SAC	23	3	3	0	4.4	0.3	0	0.3	0	0	0.3	0	0.3	0.7	50	0	1.3	1.3	1	1.3	0	0	0.3	2.1	0	0	3
Malevy Leons	OKC	25	6	6	0	3.5	0.3	0	0.3	0	0	0.2	0	0.3	0.7	50	0.2	0.3	0.5	0.2	0.2	0	0	0.7	1	0	0	-3
Bobi Klintman	DET	21	3	2	1	2.5	0	0	0.7	0	0	0.3	0	0	0	0	0	0.7	0.7	0.3	0	0	0	0.7	1.3	0	0	-1.7
Chuma Okeke	PHI	26	1	0	1	2.2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1.2	0	0	6
Cole Swider	DET	25	2	0	2	6.5	0	0	2.5	0	0	2.5	0	0	0	0	0	1	1	0.5	0	0	0	0.5	2	0	0	5
Daniss Jenkins	DET	23	4	2	2	2.1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0.3	0	0	0.3	-0.3	0	0	-3.5
Harrison Ingram	SAS	22	2	0	2	5.3	0	0	1	0	0	0.5	0	0	0	0	0	1	1	0	0	0	0	0.5	1.2	0	0	0.5
Jahlil Okafor	IND	29	1	0	1	3.4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2.7	0	0	5
Justin Minaya	POR	25	6	1	5	2.9	0	0	0.2	0	0	0	0	0	0	0	0.3	0.2	0.5	0.3	0	0.2	0	0.5	1.6	0	0	-1.7
Mac McClung	ORL	26	1	0	1	4.9	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	4.2	0	0	11
Riley Minix	SAS	24	1	0	1	6.8	0	0	1	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	2.4	0	0	0
Zyon Pullin	MEM	23	2	1	1	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
